repo,url,stars,language,archived,fork,pushedAt,connectedToCloud,cloudStatus,nxCloudId,usesLerna
WordPress/wordpress-playground,https://github.com/WordPress/wordpress-playground,1958,JavaScript,false,false,2026-06-27T16:16:53Z,false,not-connected,,true
brimdata/zui,https://github.com/brimdata/zui,1957,TypeScript,false,false,2026-05-04T16:51:54Z,false,not-connected,,false
ffxiv-teamcraft/ffxiv-teamcraft,https://github.com/ffxiv-teamcraft/ffxiv-teamcraft,1917,TypeScript,false,false,2026-06-21T18:22:47Z,false,not-connected,,false
smapiot/piral,https://github.com/smapiot/piral,1911,TypeScript,false,false,2026-06-24T13:02:01Z,false,not-connected,,true
DevExpress/DevExtreme,https://github.com/DevExpress/DevExtreme,1911,TypeScript,false,false,2026-06-27T16:03:10Z,false,opted-out,,false
valor-software/ng2-dragula,https://github.com/valor-software/ng2-dragula,1909,TypeScript,false,false,2026-03-06T15:39:12Z,true,legacy-accessToken,,true
valor-software/ng2-file-upload,https://github.com/valor-software/ng2-file-upload,1900,TypeScript,false,false,2026-03-05T14:16:42Z,true,legacy-accessToken,,false
angular-eslint/angular-eslint,https://github.com/angular-eslint/angular-eslint,1784,TypeScript,false,false,2026-06-26T19:51:08Z,true,nxCloudId,601e8ec60a30c421b31beed9,false
web3ui/web3uikit,https://github.com/web3ui/web3uikit,1780,TypeScript,false,false,2025-07-14T10:32:51Z,false,not-connected,,false
salesforce/lwc,https://github.com/salesforce/lwc,1770,JavaScript,false,false,2026-06-26T15:27:45Z,false,not-connected,,false
richardgill/llm-ui,https://github.com/richardgill/llm-ui,1750,TypeScript,false,false,2025-07-02T12:52:26Z,false,not-connected,,false
microsoft/rnx-kit,https://github.com/microsoft/rnx-kit,1725,TypeScript,false,false,2026-06-27T10:03:04Z,false,not-connected,,false
jdalrymple/gitbeaker,https://github.com/jdalrymple/gitbeaker,1721,TypeScript,false,false,2026-06-27T01:53:53Z,false,not-connected,,true
rmwc/rmwc,https://github.com/rmwc/rmwc,1661,JavaScript,false,false,2025-11-17T16:59:55Z,true,legacy-accessToken,,false
dineug/erd-editor,https://github.com/dineug/erd-editor,1657,TypeScript,false,false,2026-06-14T10:19:18Z,false,not-connected,,false
better-auth-ui/better-auth-ui,https://github.com/better-auth-ui/better-auth-ui,1657,TypeScript,false,false,2026-06-19T11:11:59Z,true,nxCloudId,691fe786e56af5ab30ac4788,false
avkonst/hookstate,https://github.com/avkonst/hookstate,1656,TypeScript,false,false,2025-03-20T22:46:54Z,false,not-connected,,false
taiga-family/maskito,https://github.com/taiga-family/maskito,1652,TypeScript,false,false,2026-06-26T15:28:18Z,false,not-connected,,false
gronxb/hot-updater,https://github.com/gronxb/hot-updater,1588,TypeScript,false,false,2026-06-27T15:30:25Z,false,not-connected,,false
statoscope/statoscope,https://github.com/statoscope/statoscope,1579,TypeScript,false,false,2026-04-14T10:11:27Z,true,legacy-accessToken,,true
seek-oss/braid-design-system,https://github.com/seek-oss/braid-design-system,1568,TypeScript,false,false,2026-06-26T04:44:28Z,false,not-connected,,false
takram-design-engineering/three-geospatial,https://github.com/takram-design-engineering/three-geospatial,1514,TypeScript,false,false,2026-05-27T06:40:25Z,false,not-connected,,false
mezonai/mezon,https://github.com/mezonai/mezon,1480,TypeScript,false,false,2026-06-26T09:13:45Z,false,opted-out,,false
codeaholicguy/ai-devkit,https://github.com/codeaholicguy/ai-devkit,1449,TypeScript,false,false,2026-06-27T16:33:52Z,false,not-connected,,false
nrwl/nx-console,https://github.com/nrwl/nx-console,1411,TypeScript,false,false,2026-06-26T13:20:04Z,true,nxCloudId,698fe56d9c60351a0e65a82b,false
Nexus-Mods/Vortex,https://github.com/Nexus-Mods/Vortex,1402,TypeScript,false,false,2026-06-25T13:58:40Z,false,opted-out,,false
algolia/algoliasearch-client-javascript,https://github.com/algolia/algoliasearch-client-javascript,1386,TypeScript,false,false,2026-06-24T16:07:07Z,false,not-connected,,true
tomalaforge/angular-challenges,https://github.com/tomalaforge/angular-challenges,1385,TypeScript,false,false,2026-03-17T21:19:36Z,false,not-connected,,false
awslabs/aws-solutions-constructs,https://github.com/awslabs/aws-solutions-constructs,1351,TypeScript,false,false,2026-06-12T20:15:45Z,false,not-connected,,false
adobe/spectrum-css,https://github.com/adobe/spectrum-css,1281,CSS,false,false,2026-06-27T00:28:17Z,false,not-connected,,false
microsoft/griffel,https://github.com/microsoft/griffel,1278,TypeScript,false,false,2026-06-23T14:22:09Z,false,not-connected,,false
xwiki/xwiki-platform,https://github.com/xwiki/xwiki-platform,1277,Java,false,false,2026-06-27T15:24:03Z,false,not-connected,,false
TanStack/cli,https://github.com/TanStack/cli,1276,TypeScript,false,false,2026-06-22T22:36:10Z,false,not-connected,,false
marcoroth/herb,https://github.com/marcoroth/herb,1261,TypeScript,false,false,2026-06-27T15:54:51Z,false,not-connected,,false
rpldy/react-uploady,https://github.com/rpldy/react-uploady,1234,JavaScript,false,false,2026-06-23T10:23:55Z,false,not-connected,,true
layrjs/layr,https://github.com/layrjs/layr,1217,TypeScript,false,false,2026-04-30T11:29:35Z,false,not-connected,,true
wireapp/wire-webapp,https://github.com/wireapp/wire-webapp,1188,TypeScript,false,false,2026-06-27T12:21:03Z,false,opted-out,,false
ElMassimo/iles,https://github.com/ElMassimo/iles,1148,TypeScript,false,false,2026-04-10T12:04:11Z,true,legacy-accessToken,,false
web-infra-dev/rsdoctor,https://github.com/web-infra-dev/rsdoctor,1136,TypeScript,false,false,2026-06-26T09:53:14Z,false,not-connected,,false
rango-exchange/rango-client,https://github.com/rango-exchange/rango-client,1128,TypeScript,false,false,2026-06-27T12:42:46Z,false,not-connected,,false
zard-ui/zardui,https://github.com/zard-ui/zardui,1085,TypeScript,false,false,2026-06-21T19:33:59Z,false,not-connected,,false
cloudflare/ai,https://github.com/cloudflare/ai,1081,TypeScript,false,false,2026-06-24T16:00:25Z,false,not-connected,,false
bloomberg/stricli,https://github.com/bloomberg/stricli,1055,TypeScript,false,false,2026-06-25T20:58:34Z,false,not-connected,,false
