repo,url,stars,language,archived,fork,pushedAt,connectedToCloud,cloudStatus,nxCloudId,usesLerna
amplication/amplication,https://github.com/amplication/amplication,16013,TypeScript,false,false,2026-06-22T12:33:35Z,true,legacy-accessToken,,false
ionic-team/capacitor,https://github.com/ionic-team/capacitor,15965,TypeScript,false,false,2026-06-24T16:18:43Z,false,not-connected,,true
rjsf-team/react-jsonschema-form,https://github.com/rjsf-team/react-jsonschema-form,15813,TypeScript,false,false,2026-06-26T20:53:53Z,false,not-connected,,false
infinitered/reactotron,https://github.com/infinitered/reactotron,15572,TypeScript,false,false,2026-05-28T22:35:18Z,false,not-connected,,false
ag-grid/ag-grid,https://github.com/ag-grid/ag-grid,15422,TypeScript,false,false,2026-06-26T17:56:22Z,false,not-connected,,false
apitable/apitable,https://github.com/apitable/apitable,15396,TypeScript,false,false,2025-10-30T03:34:31Z,false,not-connected,,false
TanStack/router,https://github.com/TanStack/router,14704,TypeScript,false,false,2026-06-27T10:36:04Z,true,nxCloudId,6442f7de8226a6291646a813,false
ag-ui-protocol/ag-ui,https://github.com/ag-ui-protocol/ag-ui,14450,Python,false,false,2026-06-26T15:20:57Z,false,not-connected,,false
zitadel/zitadel,https://github.com/zitadel/zitadel,14209,Go,false,false,2026-06-26T09:11:38Z,true,nxCloudId,688a9021d48dce0efe0f119f,false
plait-board/drawnix,https://github.com/plait-board/drawnix,14114,TypeScript,false,false,2026-06-24T10:48:53Z,false,not-connected,,false
BuilderIO/mitosis,https://github.com/BuilderIO/mitosis,13870,TypeScript,false,false,2026-06-05T14:01:27Z,true,legacy-accessToken,,false
web-infra-dev/midscene,https://github.com/web-infra-dev/midscene,13864,TypeScript,false,false,2026-06-27T13:51:56Z,false,not-connected,,false
element-hq/element-web,https://github.com/element-hq/element-web,13240,TypeScript,false,false,2026-06-27T09:44:22Z,false,not-connected,,false
bitwarden/clients,https://github.com/bitwarden/clients,13138,TypeScript,false,false,2026-06-27T15:38:10Z,false,not-connected,,false
aws/aws-cdk,https://github.com/aws/aws-cdk,12825,TypeScript,false,false,2026-06-26T20:03:41Z,false,not-connected,,true
BrowserSync/browser-sync,https://github.com/BrowserSync/browser-sync,12292,JavaScript,false,false,2026-05-09T08:29:15Z,false,not-connected,,true
microsoft/fluentui-system-icons,https://github.com/microsoft/fluentui-system-icons,10641,HTML,false,false,2026-06-26T16:19:06Z,false,not-connected,,false
Turfjs/turf,https://github.com/Turfjs/turf,10386,TypeScript,false,false,2026-06-26T19:38:45Z,false,not-connected,,true
baptisteArno/typebot.io,https://github.com/baptisteArno/typebot.io,10078,TypeScript,false,false,2026-06-27T14:43:53Z,false,not-connected,,false
mui/base-ui,https://github.com/mui/base-ui,10070,TypeScript,false,false,2026-06-26T23:39:15Z,false,not-connected,,true
VoltAgent/voltagent,https://github.com/VoltAgent/voltagent,9825,TypeScript,false,false,2026-06-23T08:11:24Z,false,not-connected,,true
hyperdxio/hyperdx,https://github.com/hyperdxio/hyperdx,9630,TypeScript,false,false,2026-06-26T22:13:27Z,false,not-connected,,false
OpenCTI-Platform/opencti,https://github.com/OpenCTI-Platform/opencti,9599,TypeScript,false,false,2026-06-27T02:49:26Z,false,not-connected,,false
tsparticles/tsparticles,https://github.com/tsparticles/tsparticles,8902,TypeScript,false,false,2026-06-26T13:32:38Z,true,nxCloudId,62a6df5ddbaff92c46e3b366,true
ghostfolio/ghostfolio,https://github.com/ghostfolio/ghostfolio,8852,TypeScript,false,false,2026-06-27T16:39:50Z,false,opted-out,,false
BuilderIO/builder,https://github.com/BuilderIO/builder,8738,TypeScript,false,false,2026-06-26T06:13:18Z,true,legacy-accessToken,,false
getsentry/sentry-javascript,https://github.com/getsentry/sentry-javascript,8697,TypeScript,false,false,2026-06-27T16:22:03Z,false,not-connected,,false
ngrx/platform,https://github.com/ngrx/platform,8318,TypeScript,false,false,2026-06-24T20:33:30Z,true,legacy-accessToken,,false
mengxi-ream/read-frog,https://github.com/mengxi-ream/read-frog,8202,TypeScript,false,false,2026-06-27T04:24:48Z,false,not-connected,,false
penrose/penrose,https://github.com/penrose/penrose,7950,TypeScript,false,false,2026-06-01T17:27:03Z,false,not-connected,,true
electron/forge,https://github.com/electron/forge,7096,TypeScript,false,false,2026-06-23T00:24:32Z,false,not-connected,,true
TanStack/virtual,https://github.com/TanStack/virtual,6979,TypeScript,false,false,2026-06-26T10:47:29Z,true,nxCloudId,65d1330edb0c1e7def5cb068,false
plasmicapp/plasmic,https://github.com/plasmicapp/plasmic,6881,TypeScript,false,false,2026-06-26T23:22:46Z,true,legacy-accessToken,,true
TanStack/form,https://github.com/TanStack/form,6588,TypeScript,false,false,2026-06-19T15:04:41Z,true,nxCloudId,6446f973ebf8ec27186bb2fe,false
4gray/iptvnator,https://github.com/4gray/iptvnator,6379,TypeScript,false,false,2026-06-27T11:25:41Z,false,not-connected,,false
actions/toolkit,https://github.com/actions/toolkit,5785,TypeScript,false,false,2026-06-22T21:13:02Z,false,not-connected,,true
valor-software/ngx-bootstrap,https://github.com/valor-software/ngx-bootstrap,5519,TypeScript,false,false,2026-06-26T12:10:40Z,true,legacy-accessToken,,false
Uniswap/interface,https://github.com/Uniswap/interface,5516,TypeScript,false,false,2026-06-25T18:05:21Z,false,not-connected,,false
cloudflare/agents,https://github.com/cloudflare/agents,5184,TypeScript,false,false,2026-06-27T13:45:45Z,false,not-connected,,false
web-infra-dev/modern.js,https://github.com/web-infra-dev/modern.js,5021,TypeScript,false,false,2026-06-27T14:46:53Z,false,not-connected,,false
generalaction/emdash,https://github.com/generalaction/emdash,4998,TypeScript,false,false,2026-06-27T16:36:42Z,false,not-connected,,false
tech-leads-club/agent-skills,https://github.com/tech-leads-club/agent-skills,4762,TypeScript,false,false,2026-06-27T17:08:10Z,true,nxCloudId,69766724b12521140b82d456,false
nomcopter/react-mosaic,https://github.com/nomcopter/react-mosaic,4759,TypeScript,false,false,2026-04-21T19:02:51Z,false,not-connected,,false
supabase/supabase-js,https://github.com/supabase/supabase-js,4490,TypeScript,false,false,2026-06-26T19:05:55Z,false,not-connected,,false
